"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Cd24a",0,1.92250446639901,0.623,0.181,0,"Cd24a"
"Cd300lf",0,4.83146111056368,0.472,0.033,0,"Cd300lf"
"Mmp8",0,8.55734548067622,0.446,0.009,0,"Mmp8"
"Arhgdib",0,2.13460757432805,0.815,0.38,0,"Arhgdib"
"Gpsm3",0,2.74832745559912,0.576,0.144,0,"Gpsm3"
"Cebpb",0,2.78294315680362,0.921,0.49,0,"Cebpb"
"Ostf1",0,2.20627534859784,0.801,0.371,0,"Ostf1"
"C5ar1",0,4.3821104372815,0.464,0.035,0,"C5ar1"
"Slc16a3",0,5.10591543058757,0.455,0.032,0,"Slc16a3"
"Ets2",0,2.72785402393797,0.627,0.204,0,"Ets2"
"S100a11",0,3.0854091458889,0.986,0.565,0,"S100a11"
"Clec4d",0,6.33095842380392,0.434,0.017,0,"Clec4d"
"Arpc1b",0,1.72437859485634,0.9,0.486,0,"Arpc1b"
"Vsir",0,2.79356529554414,0.529,0.118,0,"Vsir"
"Trem3",0,4.98905488913227,0.427,0.019,0,"Trem3"
"Thbs1",0,3.39224093665114,0.513,0.106,0,"Thbs1"
"Igsf6",0,3.24131261504679,0.488,0.083,0,"Igsf6"
"Ngp",0,5.66629209166229,0.413,0.009,0,"Ngp"
"Ifitm2",0,1.98672260097128,0.878,0.476,0,"Ifitm2"
"Laptm5",0,0.997655645931565,0.722,0.321,0,"Laptm5"
"Cdk2ap2",0,2.7344333154123,0.686,0.286,0,"Cdk2ap2"
"Cd300ld",0,4.23287798231724,0.442,0.044,0,"Cd300ld"
"Litaf",0,2.64889634308971,0.565,0.171,0,"Litaf"
"Slfn1",0,3.42261186733663,0.452,0.06,0,"Slfn1"
"AA467197",0,2.75448796677296,0.431,0.042,0,"AA467197"
"Cotl1",0,1.77275936386235,0.727,0.338,0,"Cotl1"
"Pirb",0,2.97687931671947,0.476,0.088,0,"Pirb"
"Ifitm6",0,4.46049739868853,0.45,0.065,0,"Ifitm6"
"Fpr2",0,6.4158994572633,0.39,0.009,0,"Fpr2"
"Mcl1",0,2.3441266393229,0.928,0.549,0,"Mcl1"
"Dennd4a",0,2.36235013775934,0.607,0.229,0,"Dennd4a"
"Plbd1",0,2.09075855987298,0.498,0.127,0,"Plbd1"
"Fgr",0,3.3754983646317,0.429,0.063,0,"Fgr"
"Pim1",0,2.72690179282649,0.674,0.309,0,"Pim1"
"Ptpre",0,2.32799365629706,0.526,0.161,0,"Ptpre"
"Nudt4",0,2.23218102023273,0.58,0.216,0,"Nudt4"
"Ogfrl1",0,2.91567862857215,0.492,0.129,0,"Ogfrl1"
"Snx20",0,2.72144804678337,0.499,0.137,0,"Snx20"
"Fcgr3",0,2.10456882883501,0.484,0.123,0,"Fcgr3"
"Il1rn",0,3.96963526567028,0.39,0.029,0,"Il1rn"
"Slfn2",0,1.83779480993061,0.584,0.225,0,"Slfn2"
"Ncf4",0,2.53927079772268,0.471,0.117,0,"Ncf4"
"Cyp4f18",0,3.41773979068684,0.418,0.065,0,"Cyp4f18"
"Lrg1",0,3.89283565370684,0.377,0.024,0,"Lrg1"
"Anxa2",0,1.41572728400465,0.699,0.347,0,"Anxa2"
"Ccrl2",0,4.09547206714549,0.445,0.094,0,"Ccrl2"
